wt34	wt35	AN1	AN2	CTR1	CTR2	LSC159	LSC177	LSCabb	LSCAN40	LSCAN55
A1BG	0	0	1	3	2	3	0	1	1	0	0
A1BG-AS1	35	11	0	4	0	0	30	19	34	18	20
A1CF	4	0	0	0	0	0	0	0	0	0	0
A2M	0	1	0	1	2	0	0	0	0	0	0
A2M-AS1	0	2	0	3	5	1	0	1	1	2	0
A2ML1	481	573	558	159	755	356	2	0	0	0	0
A2ML1-AS1	1	0	0	0	0	0	0	1	0	0	0
A2ML1-AS2	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	1	0	0	0	0	0	0	1	0	0	0
A4GALT	232	147	108	104	78	127	53	42	66	27	41
A4GNT	0	0	0	0	0	0	0	0	0	0	0
AAAS	773	595	208	124	76	113	210	174	423	201	243
AACS	941	695	637	403	485	492	245	137	272	130	154
AADAC	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	2	0	2	0	1	0	0	0
AADACL2-AS1	2	0	0	0	0	0	0	0	0	0	0
AADACL3	1	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0
AADAT	129	79	473	286	281	384	47	45	47	18	51
AAGAB	5283	1959	1613	2024	1023	1232	235	166	311	137	221
AAK1	971	403	313	619	190	280	385	213	414	207	236
AAMDC	149	84	118	93	89	75	32	28	27	30	12
AAMP	2921	1676	857	836	405	522	317	253	460	246	368
AANAT	4	4	3	0	3	2	0	0	0	0	0
AAR2	1065	630	432	329	235	348	88	64	92	47	69
AARD	1	0	8	2	16	17	0	0	0	0	0
AARS2	436	410	331	174	149	172	62	20	62	18	49
AARSD1	16	5	8	5	9	5	8	5	9	8	6
AASDH	1402	680	372	495	211	286	103	89	228	99	128
AASDHPPT	2583	1286	3096	2560	1599	2405	484	385	1037	269	713
AASS	1065	778	1259	404	443	257	219	189	287	203	167
AATBC	12	7	17	4	5	11	0	1	3	1	0
AATF	2377	1360	234	370	144	163	146	102	147	72	154
AATK	42	10	1	1	0	1	1	0	6	4	2
ABALON	9	5	6	2	2	0	0	0	0	0	0
ABAT	649	328	216	84	203	210	67	35	72	17	18
ABCA1	2269	1056	1046	786	764	261	185	186	188	102	220
ABCA10	18	7	65	25	24	19	7	3	4	4	7
ABCA12	178	71	90	132	65	139	12	12	26	9	11
ABCA13	19	9	97	11	24	22	15	12	30	7	6
ABCA2	106	33	7	5	6	5	6	2	4	2	3
ABCA3	9	0	4	0	0	8	0	1	0	0	0
ABCA4	5	2	3	3	3	0	0	0	0	0	0
ABCA5	643	237	227	285	197	193	113	69	126	59	84
ABCA6	0	1	0	12	3	2	2	2	2	1	2
ABCA7	215	69	63	36	36	16	12	4	14	4	5
ABCA8	0	0	2	7	14	3	0	1	2	1	0
ABCA9	0	0	0	6	2	0	0	0	1	0	0
ABCA9-AS1	1	0	0	0	0	0	0	0	0	0	0
ABCB1	2	0	0	0	1	1	0	0	1	1	0
ABCB10	812	598	1880	1259	989	1278	76	62	232	80	112
ABCB11	1	0	1	0	2	1	0	0	0	0	0
ABCB4	4	0	1	1	2	0	0	0	0	0	1
ABCB5	0	0	0	0	0	0	0	0	0	0	0
ABCB6	7	1	0	1	1	0	0	1	0	0	0
ABCB7	2009	1032	823	510	499	539	94	72	134	51	75
ABCB8	744	467	216	139	105	115	52	38	53	35	26
ABCB9	137	95	49	9	26	19	26	18	23	14	22
ABCC1	797	415	377	696	192	303	236	174	348	160	244
ABCC10	625	309	78	114	50	34	122	62	137	55	65
ABCC11	5	2	3	2	3	2	1	1	0	3	2
ABCC12	0	0	0	0	0	0	0	0	0	0	0
ABCC2	8	14	13	6	6	7	8	5	6	2	5
ABCC3	617	159	339	1126	204	559	239	165	322	191	246
ABCC4	1087	772	382	270	175	196	86	67	151	76	117
ABCC5	457	245	465	325	288	424	121	90	208	68	131
ABCC5-AS1	1	0	0	1	0	0	0	0	0	1	0
ABCC6	7	1	25	28	20	5	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0	0	0
ABCC9	1	0	34	7	50	8	45	15	8	2	17
ABCD1	24	11	14	8	9	9	1	1	3	0	5
