"lako1"	"lako2"	"lako3"	"lako4"
"AL627309.1"	2	3	4	12
"AL627309.5"	14	3	10	21
"AL732372.1"	0	0	0	0
"AC114498.1"	0	0	0	0
"AL669831.2"	1	0	0	0
"LINC01409"	66	42	62	107
"FAM87B"	0	0	0	0
"LINC01128"	149	90	71	194
"LINC00115"	33	16	16	21
"FAM41C"	22	35	24	38
"AL645608.2"	0	1	0	0
"LINC02593"	0	0	0	0
"SAMD11"	2	2	0	0
"NOC2L"	806	389	316	866
"KLHL17"	61	21	20	87
"PLEKHN1"	412	140	265	747
"PERM1"	15	5	38	40
"AL645608.7"	10	3	3	25
"HES4"	1777	693	594	2241
"ISG15"	397	165	191	549
"AL645608.1"	0	0	0	0
"AGRN"	255	120	154	671
"RNF223"	20	22	27	28
"C1orf159"	70	46	51	172
"AL390719.2"	79	62	142	129
"TTLL10"	2	3	6	3
"TNFRSF18"	75	66	97	47
"TNFRSF4"	0	1	1	1
"SDF4"	921	488	621	1560
"B3GALT6"	131	58	96	194
"C1QTNF12"	3	3	10	22
"UBE2J2"	420	238	297	801
"LINC01786"	2	0	0	2
"SCNN1D"	7	8	19	24
"ACAP3"	413	159	238	875
"PUSL1"	333	187	207	410
"INTS11"	513	251	271	755
"CPTP"	176	75	88	263
"TAS1R3"	0	1	2	5
"DVL1"	291	124	199	430
"MXRA8"	18	4	4	26
"AURKAIP1"	2566	1511	1501	4140
"CCNL2"	802	408	403	1112
"MRPL20-AS1"	131	45	64	116
"MRPL20"	2470	1368	1432	4326
"AL391244.2"	9	6	7	8
"ANKRD65"	25	35	50	37
"LINC01770"	1	1	1	2
"VWA1"	63	63	73	245
"ATAD3C"	40	21	52	65
"ATAD3B"	148	56	78	237
"ATAD3A"	221	88	90	307
"TMEM240"	8	10	10	15
"SSU72"	1385	1014	1012	2505
"AL645728.1"	57	20	36	72
"FNDC10"	90	29	37	173
"AL691432.4"	8	4	1	10
"AL691432.2"	82	61	53	121
"MIB2"	1555	818	943	2698
"MMP23B"	21	6	15	28
"CDK11B"	320	182	195	433
"FO704657.1"	7	5	5	15
"SLC35E2B"	81	31	39	140
"CDK11A"	311	187	188	390
"SLC35E2A"	25	23	51	70
"NADK"	157	85	92	313
"GNB1"	1291	855	1196	2067
"AL109917.1"	3	2	9	8
"CALML6"	4	6	4	2
"TMEM52"	17	15	30	28
"CFAP74"	2	0	8	23
"GABRD"	5	1	4	4
"PRKCZ"	178	103	133	306
"AL590822.2"	12	4	8	20
"PRKCZ-AS1"	6	0	1	5
"FAAP20"	916	766	786	2034
"SKI"	223	319	390	551
"AL590822.3"	2	1	2	5
"MORN1"	36	17	30	73
"AL513477.2"	3	3	6	9
"RER1"	2691	1335	1997	4646
"PEX10"	202	125	121	331
"PLCH2"	194	89	148	368
"PANK4"	147	57	72	210
"HES5"	3293	241	596	1422
"AL139246.5"	217	27	17	90
"TNFRSF14-AS1"	1	3	3	10
"TNFRSF14"	176	115	147	447
"AL139246.3"	0	0	0	0
"PRXL2B"	129	59	46	230
"MMEL1"	12	6	10	14
"TTC34"	2	4	1	18
"PRDM16-DT"	1	0	1	2
"PRDM16"	5	4	2	12
"AL354743.1"	0	0	0	0
"ARHGEF16"	237	63	111	388
"AL512413.1"	4	1	4	9
"MEGF6"	111	56	40	317
"AL513320.1"	5	1	1	3
"TPRG1L"	740	300	398	1067
"WRAP73"	270	127	90	388
"TP73"	114	205	145	417
"AL136528.2"	0	0	0	0
"SMIM1"	136	72	126	228
"LRRC47"	244	119	193	442
"AL365330.1"	0	1	1	6
"CEP104"	272	115	142	361
"DFFB"	40	10	26	58
"C1orf174"	282	148	198	500
"LINC01134"	7	3	1	9
"AL805961.1"	1	1	1	3
"AJAP1"	110	82	176	119
"Z98886.1"	2	1	2	1
"AL365255.1"	0	0	1	0
"NPHP4"	43	15	28	86
"KCNAB2"	47	35	31	65
"CHD5"	1	0	0	0
"RPL22"	23673	26381	22608	44155
"AL031847.1"	4	2	7	13
"RNF207"	89	60	53	279
"ICMT"	346	143	122	543
"LINC00337"	1	0	3	5
"GPR153"	27	61	49	193
"ACOT7"	217	105	141	371
"AL031848.2"	36	5	17	40
"HES2"	615	265	288	714
"ESPN"	26	17	44	93
"TNFRSF25"	108	55	117	212
"PLEKHG5"	156	74	134	273
"NOL9"	151	85	105	262
"TAS1R1"	2	3	0	0
"ZBTB48"	158	74	75	245
"KLHL21"	470	686	1237	869
"PHF13"	428	237	303	446
"THAP3"	151	92	63	235
"DNAJC11"	128	68	70	273
"LINC01672"	2	0	2	0
"AL591163.1"	3	2	5	2
"CAMTA1-DT"	21	15	19	14
"CAMTA1"	2038	1971	2070	3446
"CAMTA1-IT1"	2	0	1	0
"AL359881.2"	0	0	0	0
"VAMP3"	603	508	531	1121
"Z98884.2"	11	3	1	3
"PER3"	678	317	402	1124
"Z98884.1"	0	1	0	0
"UTS2"	0	0	1	1
"TNFRSF9"	1	0	5	1
"PARK7"	6248	4108	3403	8931
"AL034417.4"	6	11	8	10
"AL034417.3"	28	41	52	77
"ERRFI1"	957	1109	1827	1384
"AL034417.2"	3	3	0	0
"SLC45A1"	11	7	8	11
"RERE"	843	473	622	1365
"RERE-AS1"	5	2	2	6
"ENO1"	55567	22530	26649	66779
"ENO1-AS1"	20	18	19	47
"CA6"	390	5	44	39
"SLC2A5"	91	93	61	238
"GPR157"	119	58	58	202
"MIR34AHG"	10	2	18	25
"LNCTAM34A"	12	20	39	42
"H6PD"	54	79	58	235
"SPSB1"	239	351	464	229
"BX323043.1"	0	0	0	0
"LINC02606"	3	1	5	3
"SLC25A33"	780	692	689	663
"TMEM201"	36	26	30	102
"PIK3CD"	84	46	98	112
"PIK3CD-AS2"	216	257	219	306
"CLSTN1"	1767	1377	1699	4022
"CTNNBIP1"	851	494	654	1385
"AL357140.1"	0	0	0	0
"LZIC"	585	441	434	917
"AL357140.2"	2	1	5	8
"NMNAT1"	78	43	53	132
"RBP7"	28	24	21	34
"UBE4B"	220	166	180	365
"KIF1B"	277	226	340	389
"AL139424.3"	12	6	12	9
"AL139424.2"	3	4	11	4
"PGD"	1435	605	848	2332
"CENPS"	253	147	108	457
"CORT"	17	24	22	51
"DFFA"	487	235	272	762
"AL354956.1"	3	4	1	3
"PEX14"	136	100	146	233
"CASZ1"	164	116	272	368
"AL139423.1"	1	2	0	2
"TARDBP"	988	633	824	1452
"MASP2"	0	0	1	2
"AL109811.2"	21	36	48	93
"SRM"	939	345	400	1337
"EXOSC10"	353	193	190	544
"AL109811.1"	6	3	1	4
"EXOSC10-AS1"	7	4	3	11
"MTOR"	140	66	63	229
"MTOR-AS1"	1	1	0	0
"ANGPTL7"	3995	1315	1375	4020
"UBIAD1"	197	96	117	257
"AL031291.1"	14	9	9	27
"DISP3"	1	0	1	0
"AL031731.1"	4	0	2	4
"FBXO2"	1044	445	473	939
"FBXO44"	232	109	88	264
"FBXO6"	52	27	23	57
"MAD2L2"	255	164	163	417
"DRAXIN"	3	2	1	5
"AGTRAP"	661	281	301	862
"C1orf167"	6	8	14	17
"MTHFR"	86	98	96	247
"CLCN6"	79	46	55	138
"NPPA"	0	0	0	0
"AL021155.5"	88	51	98	111
"KIAA2013"	377	159	216	566
"PLOD1"	183	91	80	255
"AL096840.2"	19	7	10	21
"MFN2"	479	261	380	786
"MIIP"	141	80	82	234
"TNFRSF8"	0	2	0	0
"TNFRSF1B"	3	4	3	6
"VPS13D"	369	258	234	860
"LINC02766"	0	0	0	0
"DHRS3"	1314	928	1121	1808
"AC254633.1"	9	6	5	12
"LRRC38"	0	1	0	0
"PDPN"	304	168	237	613
"PRDM2"	1025	787	1002	1579
"KAZN"	516	407	551	1250
"AL357873.1"	30	43	25	45
"KAZN-AS1"	0	0	0	0
"AL031293.1"	62	30	20	151
"TMEM51-AS1"	32	13	10	45
"TMEM51"	176	172	233	286
"FHAD1"	4	2	1	7
"AL031283.2"	2	0	0	2
"AL031283.1"	0	1	6	1
"EFHD2"	1376	1220	1787	2246
"CTRC"	3	0	2	4
"CELA2A"	1	2	1	0
"CASP9"	125	64	53	164
"DNAJC16"	201	74	128	354
"AGMAT"	2	1	3	11
"AL121992.1"	15	3	1	21
"DDI2"	561	237	311	829
"AL121992.2"	0	0	0	1
"PLEKHM2"	458	303	429	758
"AL450998.3"	0	2	0	0
"SLC25A34"	9	9	18	20
"FBLIM1"	782	487	941	934
"UQCRHL"	60	50	14	43
"AL450998.2"	281	127	120	235
"SPEN"	646	645	1059	1208
"ZBTB17"	185	97	98	211
"SRARP"	0	2	0	0
"HSPB7"	2	0	0	1
"CLCNKA"	0	0	0	0
"CLCNKB"	1	0	1	0
"FAM131C"	12	4	5	12
"EPHA2"	821	1194	2330	1552
