"baseMean";"log2FoldChange";"lfcSE";"pvalue";"padj"
"A1BG";3.40371317919991;-0.223227972581629;0.552411144339564;0.287512692764921;0.511849263172964
"A1BG-AS1";2.53898385871003;0.0518770010796994;0.378496990677873;0.804044057066484;0.902879318605909
"A2M";0.674963967263609;-0.0265464775449521;0.634109959940405;0.879057733974044;NA
"A2ML1";1705.72462408939;0.949456796342423;1.05792939734157;0.0141118972191943;0.0751284097570502
"A4GALT";315.025302701711;-3.12039952893599;0.626774069057692;5.16462758549103e-08;2.11787799513133e-06
"AAAS";276.738995509498;-0.290229431634539;0.214474969432701;0.112100990866013;0.289847488389429
"AACS";410.979053980419;-0.437634096773984;0.203010195858888;0.0127540825227543;0.0701369480411101
"AADAC";0.707648931577384;0.252685731761686;0.918473197480621;0.201273753327259;NA
"AADACL2";10.9892365891742;0.381838473327184;0.939533966501374;0.117963689656295;0.298327430070719
"AADAT";33.4353737696189;-1.70815579657288;0.560915901214294;1.36721145317771e-05;0.000301039038964855
"AAGAB";420.194668705837;0.422386602646174;0.207233708082688;0.0178471974556864;0.0884936796005366
"AAK1";397.399930747856;-0.0347765906790286;0.290285626161936;0.869269284419463;0.93900146613566
"AAMDC";19.2099928946311;0.124987621738121;0.306853622053724;0.56021899330228;0.750870925409247
"AAMP";562.061169404692;0.112833063051752;0.246573134502461;0.569317237579762;0.756818574701163
"AANAT";2.21898137137763;-0.359786292991564;0.586500926557344;0.128726398722335;0.314283732398444
"AAR2";157.533657065928;0.0895421887639356;0.186572833754865;0.588810228104891;0.770160086761021
"AARD";1.65356891159047;0.360412022758596;0.517623074036154;0.125600499585243;0.309687152914419
"AARS1";1061.37801902645;0.235459446938276;0.326970251015402;0.283127597124788;0.507779883517377
"AARS2";120.544438439493;-0.304428783916266;0.266713801625877;0.141334244163395;0.333880896686067
"AARSD1";1.72553004157194;0.206240375516732;0.47897510169374;0.32645428965194;0.553517012188489
"AASDH";131.800477266236;0.53947946539917;0.280349933845066;0.0117995157433475;0.0664985115042406
"AASDHPPT";497.11235148564;0.375305154876342;0.24206652970615;0.0568162055100438;0.190797277658477
"AASS";195.263540458532;0.724708238548351;0.483316702544191;0.00828673161074654;0.0521907738050414
"AATBC";18.2792855314053;0.73020393371699;0.455565712411951;0.00667875267667949;0.0449107099813782
"AATF";287.049934281402;0.214669090557692;0.181833777360069;0.186125973355341;0.3951211517808
"AATK";30.4428314077421;-0.158491337601254;0.307196770543852;0.461363335774111;0.673296043322371
"ABALON";3.85383882296985;-0.139069875556183;0.414021344594438;0.504181936795993;0.707831407241412
"ABAT";92.0162652819008;-1.05162927795245;0.478288466628089;0.00039961334209076;0.00528909332235907
"ABCA1";219.003482695349;0.317926221182962;0.285973833410449;0.136279045363143;0.32623631561138
"ABCA10";5.17350990319985;1.67320669464172;0.801380055283661;0.000292258424923092;0.00411281038108466
"ABCA11P";7.96089174648042;0.23781280212714;0.432859925157177;0.275083430168591;0.499390157208029
"ABCA12";349.053059953263;1.56534970823895;0.436270373152936;1.45943911099059e-06;4.2214971858636e-05
"ABCA13";15.9619566900361;-1.09460007538983;0.737732282753862;0.00273411150312577;0.0234400051679339
"ABCA17P";0.599811801319684;0.0495874411724911;0.520472866428063;0.788028784948178;NA
"ABCA2";84.9176278147063;-0.474804768540249;0.443849751194069;0.0536766020280592;0.183917570898852
"ABCA3";7.55777014504472;-0.232313677219718;0.414672750098908;0.287350449121155;0.511679673814307
"ABCA4";0.366559581637508;0.0126266101595502;0.608455173754158;0.942771858927042;NA
"ABCA5";147.525660167748;1.217618398681;0.405115812029966;1.59993898680119e-05;0.000344999763432969
"ABCA6";2.58313814456676;0.434384432407624;0.609784818200592;0.0843610847638051;0.24489922374307
"ABCA7";129.655187888175;-0.162243087582407;0.348350397933611;0.454978100429761;0.66734501924569
"ABCA8";1.17334798479838;-0.0633983455518972;0.508862082110443;0.734252056085604;NA
"ABCB1";0.329488233901971;-0.0178434647395597;0.669273517485704;0.916798151096588;NA
"ABCB10";208.518971059389;0.0125778479607084;0.237870520357209;0.948417914954595;0.977587388870565
"ABCB11";4.78154343536884;-2.76143243133802;1.19078143094496;0.00016444898548108;0.00251803079603598
"ABCB4";1.05128796458879;0.135805874619006;0.594924542830771;0.477468852953852;NA
"ABCB6";19.1248858241991;0.544840509040483;0.43603466451935;0.0303096521858155;0.126372244561894
"ABCB8";143.050180015728;-0.160925645708155;0.289107603358826;0.447847297991657;0.661307002587201
"ABCB9";33.7232119127629;-1.00157380881079;0.509900873614642;0.000927056471412907;0.0103842768509271
"ABCC1";519.056805069338;-0.132238039391433;0.316286513458514;0.539703744880786;0.734599209106208
"ABCC10";144.398341183808;-0.346158147957961;0.268382733258207;0.0959686467398234;0.264698634181125
"ABCC11";1.69781400119873;0.125481585701446;0.426551442431111;0.540158989769143;0.734985093559598
"ABCC2";10.897684412376;2.74059144863636;0.520014368856484;1.19295518785252e-08;5.59281519248834e-07
"ABCC3";338.249508508894;0.213465653731902;0.28283783426201;0.311969791351094;0.537834502391257
"ABCC4";95.923196616312;0.296002348459728;0.30639459026004;0.17462085422826;0.380125480249076
"ABCC5";188.570152673928;-0.826373883553346;0.359311933678366;0.000844872280847621;0.00961156298476452
"ABCC5-AS1";0.503331815061092;0.0470412276277711;0.558271824266379;0.795133790851462;NA
"ABCC6";5.29637239268599;-0.584789146173537;0.51845110426347;0.0281957368566534;0.120880258961609
