"HC7"	"HC6"
"AL669831.5"	9	5
"FAM87B"	0	0
"LINC00115"	0	5
"FAM41C"	5	4
"AL645608.3"	1	1
"SAMD11"	0	0
"NOC2L"	82	73
"KLHL17"	7	4
"PLEKHN1"	10	6
"PERM1"	0	1
"AL645608.8"	2	0
"HES4"	121	90
"ISG15"	4	5
"AGRN"	44	28
"RNF223"	4	0
"C1orf159"	10	4
"AL390719.2"	1	1
"TTLL10"	4	1
"TNFRSF18"	260	245
"TNFRSF4"	0	1
"SDF4"	125	105
"B3GALT6"	46	28
"C1QTNF12"	18	32
"UBE2J2"	87	109
"LINC01786"	0	0
"SCNN1D"	2	0
"ACAP3"	99	96
"PUSL1"	31	34
"INTS11"	97	100
"CPTP"	23	30
"TAS1R3"	0	0
"DVL1"	39	39
"MXRA8"	10	0
"AURKAIP1"	291	289
"CCNL2"	94	82
"MRPL20"	271	248
"AL391244.3"	0	2
"ANKRD65"	18	21
"VWA1"	17	22
"ATAD3C"	5	1
"ATAD3B"	11	26
"ATAD3A"	49	39
"TMEM240"	0	0
"SSU72"	249	202
"AL645728.1"	18	15
"FNDC10"	44	50
"AL691432.2"	5	9
"MIB2"	256	209
"MMP23B"	0	1
"CDK11B"	23	27
"FO704657.1"	1	1
"SLC35E2B"	15	5
"CDK11A"	20	29
"SLC35E2A"	2	12
"NADK"	29	25
"GNB1"	162	116
"AL109917.1"	0	0
"CALML6"	0	0
"TMEM52"	6	5
"CFAP74"	0	0
"AL391845.2"	0	2
"GABRD"	1	4
"PRKCZ"	25	28
"AL590822.2"	2	0
"PRKCZ-AS1"	0	1
"FAAP20"	123	98
"SKI"	38	23
"MORN1"	5	5
"RER1"	218	190
"PEX10"	46	37
"PLCH2"	40	29
"PANK4"	8	6
"HES5"	12	7
"AL139246.5"	0	1
"TNFRSF14-AS1"	0	1
"TNFRSF14"	29	24
"AL139246.3"	0	0
"FAM213B"	17	7
"MMEL1"	0	0
"TTC34"	0	0
"LINC00982"	0	0
"PRDM16"	0	0
"ARHGEF16"	9	20
"MEGF6"	39	65
"AL513320.1"	0	1
"TPRG1L"	75	82
"WRAP73"	18	30
"TP73"	21	36
"SMIM1"	5	5
"LRRC47"	54	66
"AL365330.1"	1	0
"CEP104"	33	40
"DFFB"	0	1
"C1orf174"	54	56
"LINC01134"	0	1
"AL805961.2"	1	0
"AJAP1"	7	1
"NPHP4"	10	7
"KCNAB2"	6	0
"RPL22"	5287	3504
"RNF207"	1	2
"ICMT"	28	43
"GPR153"	9	6
"ACOT7"	26	29
"AL031848.2"	7	9
"HES2"	24	20
"ESPN"	12	16
"TNFRSF25"	30	30
"PLEKHG5"	33	37
"NOL9"	26	26
"TAS1R1"	0	0
"ZBTB48"	13	9
"KLHL21"	57	12
"PHF13"	40	30
"THAP3"	12	19
"DNAJC11"	19	19
"AL591163.1"	0	0
"CAMTA1-DT"	1	0
"CAMTA1"	223	167
"AL365194.1"	0	0
"AL359881.2"	0	0
"VAMP3"	99	108
"PER3"	79	113
"Z98884.1"	0	0
"UTS2"	0	0
"TNFRSF9"	0	0
"PARK7"	645	502
"AL034417.4"	0	5
"AL034417.3"	4	0
"ERRFI1"	284	83
"AL034417.2"	0	0
"SLC45A1"	1	0
"RERE"	66	49
"AL096855.1"	0	0
"ENO1"	890	787
"ENO1-AS1"	6	10
"CA6"	0	0
"SLC2A5"	5	12
"GPR157"	16	26
"MIR34AHG"	0	2
"LINC01759"	2	5
"H6PD"	24	54
"SPSB1"	38	28
"AL928921.2"	1	2
"SLC25A33"	38	12
"TMEM201"	10	7
"PIK3CD"	1	1
"PIK3CD-AS2"	0	3
"CLSTN1"	232	179
"CTNNBIP1"	267	293
"LZIC"	81	57
"NMNAT1"	10	9
"RBP7"	28	61
"UBE4B"	30	29
"KIF1B"	43	36
"AL139424.3"	2	0
"AL139424.2"	0	1
"PGD"	23	26
"CENPS-CORT"	1	0
"CENPS"	38	53
"CORT"	0	0
"DFFA"	41	46
"PEX14"	14	16
"CASZ1"	37	36
"AL139423.1"	1	0
"TARDBP"	73	85
"MASP2"	1	0
"AL109811.3"	0	3
"SRM"	144	127
