"lako1"	"lako2"	"lako3"	"lako4"	"lako6"
"AL627309.1"	1	0	1	1	0
"AL627309.5"	1	0	2	5	0
"AL732372.1"	0	0	0	0	0
"AC114498.1"	0	0	0	0	0
"AL669831.2"	0	0	0	0	0
"LINC01409"	9	14	19	14	1
"FAM87B"	0	0	0	0	0
"LINC01128"	18	53	41	44	2
"LINC00115"	2	8	7	2	0
"FAM41C"	4	24	16	4	0
"AL645608.2"	0	1	0	0	0
"LINC02593"	0	0	0	0	0
"SAMD11"	0	1	0	0	0
"NOC2L"	107	213	155	184	10
"KLHL17"	2	4	8	5	0
"PLEKHN1"	26	37	69	87	1
"PERM1"	2	1	14	9	0
"AL645608.7"	3	1	2	5	1
"HES4"	196	352	178	511	8
"ISG15"	108	70	68	201	1
"AL645608.1"	0	0	0	0	0
"AGRN"	5	26	38	33	12
"RNF223"	2	10	7	7	0
"C1orf159"	10	19	12	30	2
"AL390719.2"	40	34	69	32	1
"TTLL10"	1	2	2	1	0
"TNFRSF18"	30	47	76	20	2
"TNFRSF4"	0	1	0	1	0
"SDF4"	102	199	184	283	18
"B3GALT6"	16	35	53	44	3
"C1QTNF12"	0	2	8	4	0
"UBE2J2"	43	79	98	123	9
"LINC01786"	0	0	0	0	0
"SCNN1D"	0	2	13	9	0
"ACAP3"	39	49	88	76	6
"PUSL1"	32	81	59	62	0
"INTS11"	55	113	100	134	9
"CPTP"	10	29	20	22	1
"TAS1R3"	0	0	1	0	0
"DVL1"	31	52	48	70	2
"MXRA8"	9	3	2	9	1
"AURKAIP1"	279	504	403	789	20
"CCNL2"	103	201	185	219	13
"MRPL20-AS1"	10	13	33	14	1
"MRPL20"	220	435	337	732	34
"AL391244.2"	0	5	2	2	0
"ANKRD65"	17	31	32	13	2
"LINC01770"	1	1	1	2	0
"VWA1"	26	56	46	102	4
"ATAD3C"	5	10	17	12	0
"ATAD3B"	26	24	46	43	1
"ATAD3A"	30	28	37	32	4
"TMEM240"	3	6	9	7	0
"SSU72"	209	458	412	533	18
"AL645728.1"	5	10	15	27	0
"FNDC10"	9	11	4	25	0
"AL691432.4"	1	1	1	1	0
"AL691432.2"	11	39	26	27	2
"MIB2"	182	279	344	525	11
"MMP23B"	3	1	9	8	1
"CDK11B"	43	93	85	67	10
"FO704657.1"	1	1	2	3	0
"SLC35E2B"	14	16	14	28	2
"CDK11A"	39	107	98	93	5
"SLC35E2A"	5	10	23	11	2
"NADK"	29	34	25	36	3
"GNB1"	206	449	430	540	17
"AL109917.1"	1	2	4	1	1
"CALML6"	0	6	3	1	0
"TMEM52"	8	10	24	7	2
"CFAP74"	2	0	1	2	0
"GABRD"	4	1	3	1	0
"PRKCZ"	19	37	39	39	4
"AL590822.2"	2	2	3	3	1
"PRKCZ-AS1"	2	0	1	3	0
"FAAP20"	118	293	230	392	18
"SKI"	72	230	198	160	19
"AL590822.3"	0	0	2	1	0
"MORN1"	1	10	13	5	1
"AL513477.2"	0	1	1	2	0
"RER1"	194	457	432	914	31
"PEX10"	17	60	34	58	3
"PLCH2"	16	37	47	59	9
"PANK4"	13	23	17	21	3
"HES5"	53	50	59	90	1
"AL139246.5"	5	7	5	28	0
"TNFRSF14-AS1"	0	2	1	5	0
"TNFRSF14"	21	55	65	112	6
"AL139246.3"	0	0	0	0	0
"PRXL2B"	8	14	13	20	2
"MMEL1"	1	2	0	2	0
"TTC34"	1	2	0	1	0
"PRDM16-DT"	0	0	1	1	0
"PRDM16"	3	3	2	6	2
"AL354743.1"	0	0	0	0	0
"ARHGEF16"	13	13	21	23	1
"AL512413.1"	0	0	1	0	0
"MEGF6"	16	28	28	31	2
"AL513320.1"	0	0	1	0	0
"TPRG1L"	38	87	70	99	10
"WRAP73"	9	44	20	45	0
"TP73"	34	150	87	138	12
"AL136528.2"	0	0	0	0	0
"SMIM1"	12	26	29	49	0
