	LSC159	LSC177	LSCabb1	LSCabb2	PKC19
WASH7P	0	0	0	0	0
LOC729737	15	6	16	14	6
ALDH4A1	49	20	11	31	32
IFFO2	406	115	162	210	686
UBR4	691	467	231	579	506
EMC1	0	3	3	1	0
MRTO4	77	41	41	50	44
AKR7L	2	1	0	1	1
AKR7A3	0	0	0	2	2
LOC100506730	13	11	12	18	11
AKR7A2	167	139	63	183	147
PQLC2	1	0	0	0	0
CAPZB	1064	819	382	1230	695
MINOS1-NBL1	0	1	0	0	0
MINOS1	77	76	34	54	40
TMCO4	5	2	1	3	7
OTUD3	44	29	24	30	23
UBXN10-AS1	0	0	1	0	0
UBXN10	0	0	1	1	0
CAMK2N1	482	314	282	447	354
MUL1	94	89	32	60	39
CDA	70	79	18	48	249
PINK1	1	0	0	0	1
PINK1-AS	0	0	0	1	0
DDOST	180	111	72	197	135
KIF17	0	1	0	1	2
SH2D5	148	55	48	70	64
HP1BP3	691	575	489	791	737
EIF4G3	314	239	169	180	145
TNFRSF18	0	0	0	0	2
ECE1	102	56	49	96	102
NBPF3	24	10	15	21	14
ALPL	4	1	0	1	0
RAP1GAP	1	0	0	0	4
USP48	235	117	115	146	105
LDLRAD2	0	0	0	0	0
HSPG2	10	3	2	3	1
SDF4	141	120	48	186	173
RP1-224A6.3	0	2	0	1	0
LINC00339	11	16	19	27	22
CDC42	1835	1422	1056	1593	1183
WNT4	3	0	1	2	16
B3GALT6	53	51	21	71	42
LOC101060363	5	2	0	0	0
ZBTB40	44	30	29	33	28
FAM132A	1	0	1	1	0
EPHB2	29	2	6	27	3
UBE2J2	195	127	74	142	133
C1orf234	0	0	0	0	0
KDM1A	155	125	92	144	106
LUZP1	506	347	278	324	230
RP5-1057J7.6	24	10	6	8	15
HNRNPR	949	1025	840	1106	796
ZNF436	66	61	74	87	74
C1orf213	3	1	3	7	4
TCEA3	0	5	5	3	24
ASAP3	1	3	1	2	9
E2F2	3	3	0	2	10
ID3	76	42	78	116	169
RPL11	2949	1961	2043	1709	2149
TCEB3	81	66	36	59	53
PITHD1	113	95	59	102	132
LYPLA2	416	307	144	383	247
GALE	184	95	83	175	121
HMGCL	31	28	23	48	38
FUCA1	73	11	35	35	44
CNR2	2	0	0	1	0
PNRC2	264	202	223	278	292
SRSF10	147	159	100	148	138
MYOM3	2	0	0	0	1
IL22RA1	7	7	6	9	12
IFNLR1	40	19	25	29	31
GRHL3	0	0	0	0	2
STPG1	7	5	3	2	7
SCNN1D	0	1	0	0	0
NIPAL3	93	84	43	81	55
RCAN3AS	0	2	2	2	3
RCAN3	46	31	23	33	26
ACAP3	10	1	8	11	20
LOC100506985	6	3	6	1	2
NCMAP	0	1	0	4	0
SRRM1	771	662	447	735	466
CLIC4	378	443	473	364	480
RUNX3	0	1	0	2	6
SYF2	110	104	131	154	182
C1orf63	68	26	138	119	130
RHD	0	0	0	1	0
LOC101928189	0	0	0	1	0
TMEM50A	567	492	349	542	563
RHCE	0	1	0	0	0
TMEM57	121	91	53	82	41
LDLRAP1	2	3	2	0	2
MAN1C1	0	0	0	5	10
SEPN1	24	23	5	29	8
LOC102723671	1	2	0	0	0
MTFR1L	0	1	0	0	1
AUNIP	10	0	1	2	4
PAQR7	50	32	20	84	39
STMN1	56	35	19	42	13
PAFAH2	35	28	30	41	30
PUSL1	2	2	1	5	2
TRIM63	0	0	0	2	1
PDIK1L	17	27	13	16	37
ZNF593	42	37	9	22	19
CNKSR1	72	41	20	66	33
LOC101928303	0	0	0	1	0
CEP85	50	29	27	61	47
SH3BGRL3	3040	2954	665	4982	2092
UBXN11	0	0	0	0	0
AIM1L	12	6	11	10	30
DHDDS	46	25	23	45	31
CPSF3L	5	2	0	9	2
HMGN2	33	22	22	26	159
RPS6KA1	208	193	97	228	135
LOC101928728	4	2	0	3	2
ARID1A	508	484	231	509	288
PIGV	28	14	6	15	20
ZDHHC18	12	9	9	10	25
SFN	4374	2566	529	2905	3036
GPN2	11	4	7	5	6
GPATCH3	11	5	2	6	1
NUDC	140	83	78	109	96
C1orf172	91	67	43	64	95
TRNP1	41	30	30	83	113
FAM46B	49	31	34	65	256
SLC9A1	232	115	69	138	78
WDTC1	15	13	6	9	18
TMEM222	22	18	3	14	13
SYTL1	52	24	31	40	67
MAP3K6	3	3	5	0	7
FCN3	0	0	0	0	1
CD164L2	3	4	2	6	16
GPR3	5	6	2	4	4
WASF2	686	530	234	678	518
AHDC1	75	52	58	76	77
IFI6	51	30	27	52	3183
FAM76A	54	51	45	51	62
STX12	201	114	101	161	126
PPP1R8	128	86	52	63	100
THEMIS2	12	3	3	10	3
RPA2	118	120	60	115	80
SMPDL3B	4	1	1	3	0
XKR8	6	4	6	8	9
EYA3	151	114	65	96	85
GLTPD1	7	4	2	9	8
PTAFR	211	112	98	138	32
DNAJC8	261	201	195	263	326
ATPIF1	270	153	248	218	411
SESN2	116	131	75	249	64
MED18	4	10	2	9	14
PHACTR4	259	188	178	287	164
RCC1	45	49	23	46	44
SNHG3	2	2	0	1	1
TRNAU1AP	39	39	25	48	86
SNHG12	66	51	16	37	48
DVL1	58	38	50	53	109
TAF12	114	108	123	139	137
GMEB1	30	16	13	12	13
YTHDF2	377	376	281	352	367
EPB41	19	8	11	12	10
