sample	assembly	condition	descriptive_name
Dombi-23_ATAC_1	GRCh38.p13	KC	Dombi_23_ATAC_1
Dombi-23_ATAC_2	GRCh38.p13	KC	Dombi_23_ATAC_2
PKC19_ATAC_1	GRCh38.p13	KC	PKC19_ATAC_1
PKC19_ATAC_2	GRCh38.p13	KC	PKC19_ATAC_2
PKC19_ATAC_3	GRCh38.p13	KC	PKC19_ATAC_3
PKC19_ATAC_4	GRCh38.p13	KC	PKC19_ATAC_4
PRIM_LSC_ATAC_1	GRCh38.p13	LSC	PRIM_LSC_ATAC_1
PRIM_LSC_ATAC_2	GRCh38.p13	LSC	PRIM_LSC_ATAC_2
PRIM_LSC_ATAC_3	GRCh38.p13	LSC	PRIM_LSC_ATAC_3
PRIM_LSC_ATAC_4	GRCh38.p13	LSC	PRIM_LSC_ATAC_4
GSM4728093	GRCh38.p13	LSC	ATAC_LSC_Ouyang_1
GSM4728094	GRCh38.p13	LSC	ATAC_LSC_Ouyang_2
GSM736582	GRCh38.p13	ESC	H1_ESC_2
GSM2400261	GRCh38.p13	ESC	H9_ESC_1
GSM2400260	GRCh38.p13	ESC	H9_ESC_2
iPSCs	GRCh38.p13	iPSC	iPSC

GSM4711920	GRCh38.p13	LSC	ATAC_LSC_FOXC1_Ouyang_1
GSM4711921	GRCh38.p13	LSC	ATAC_LSC_FOXC1_Ouyang_2
