sample	assembly	descriptive_name	control
Chipseq_DOM_H3K27ac	GRCh38.p13	DOM_H3K27ac	SRR5499084
SRX663241	GRCh38.p13	HKC1_H3K27ac	SRR1528616
Chipseq_LSC_PRIM_H3K27ac	GRCh38.p13	LSC_PRIM_H3K27ac	PRIM_LSC_input
GSM4728063	GRCh38.p13	LSC_H3K27ac_Ouyang_1	PRIM_LSC_input
GSM4728064	GRCh38.p13	LSC_H3K27ac_Ouyang_2	PRIM_LSC_input

Chipseq_LSC_PRIM_H3K27me3	GRCh38.p13	LSC_PRIM_H3K27me3	PRIM_LSC_input
GSM4728069	GRCh38.p13	LSC_H3K27me3_Ouyang_1	PRIM_LSC_input
GSM4728070	GRCh38.p13	LSC_H3K27me3_Ouyang_2	PRIM_LSC_input

Chipseq_DOM_H3K27me3	GRCh38.p13	DOM_H3K27me3	SRR5499084
GSM2597292	GRCh38.p13	HKC_H3K27me3_2

GSM466732	GRCh38.p13	H1_cells_1
GSM663427	GRCh38.p13	H1_cells_2
GSM733718	GRCh38.p13	H1_cells_3

