Gene stable ID,Gene stable ID version,Gene name,Chromosome/scaffold name
ENSG00000252050,ENSG00000252050.1,AL606748.2,X
ENSG00000207970,ENSG00000207970.3,MIR660,X
ENSG00000242065,ENSG00000242065.3,RN7SL291P,X
ENSG00000200291,ENSG00000200291.1,Y_RNA,X
ENSG00000201666,ENSG00000201666.1,AC121343.1,X
ENSG00000222532,ENSG00000222532.1,MIR1468,X
ENSG00000278838,ENSG00000278838.1,Metazoa_SRP,X
ENSG00000199878,ENSG00000199878.1,RN7SKP149,X
ENSG00000207100,ENSG00000207100.1,Z77249.1,X
ENSG00000276575,ENSG00000276575.1,MIR6895,X
ENSG00000201377,ENSG00000201377.1,RNY4P23,X
ENSG00000239579,ENSG00000239579.3,RN7SL325P,X
ENSG00000252810,ENSG00000252810.1,RNU6-345P,X
ENSG00000207641,ENSG00000207641.1,MIR510,X
ENSG00000206693,ENSG00000206693.1,SNORA56,X
ENSG00000199567,ENSG00000199567.1,Y_RNA,X
ENSG00000206795,ENSG00000206795.1,Y_RNA,X
ENSG00000201618,ENSG00000201618.1,RNA5SP505,X
ENSG00000238426,ENSG00000238426.1,Y_RNA,X
ENSG00000277717,ENSG00000277717.1,U6,X
ENSG00000283751,ENSG00000283751.1,MIR452,X
ENSG00000252930,ENSG00000252930.1,RNU6-1015P,X
ENSG00000239080,ENSG00000239080.1,AL807743.1,X
ENSG00000252145,ENSG00000252145.1,RNU6-1225P,X
ENSG00000238730,ENSG00000238730.1,RNU7-164P,X
ENSG00000207866,ENSG00000207866.1,MIR514A2,X
ENSG00000207785,ENSG00000207785.1,MIR500A,X
ENSG00000201592,ENSG00000201592.1,AL732366.1,X
ENSG00000201271,ENSG00000201271.1,RNU1-112P,X
ENSG00000284538,ENSG00000284538.1,MIR92A2,X
ENSG00000241248,ENSG00000241248.3,RN7SL727P,X
ENSG00000208012,ENSG00000208012.1,MIRLET7F2,X
ENSG00000238606,ENSG00000238606.1,RNU7-7P,X
ENSG00000266828,ENSG00000266828.2,RN7SL712P,X
ENSG00000207033,ENSG00000207033.1,RNU6-154P,X
ENSG00000264573,ENSG00000264573.2,RN7SL15P,X
ENSG00000199601,ENSG00000199601.1,RNU6-562P,X
ENSG00000212595,ENSG00000212595.1,RNA5SP525,X
ENSG00000241198,ENSG00000241198.3,RN7SL191P,X
ENSG00000207165,ENSG00000207165.1,SNORA70,X
ENSG00000207969,ENSG00000207969.1,MIR507,X
ENSG00000279413,ENSG00000279413.1,AC112497.2,X
ENSG00000207332,ENSG00000207332.1,RNU6-146P,X
ENSG00000206685,ENSG00000206685.1,RNU6-1189P,X
ENSG00000264484,ENSG00000264484.2,RN7SL697P,X
ENSG00000201826,ENSG00000201826.1,RNU6-867P,X
ENSG00000207867,ENSG00000207867.1,MIR514A3,X
ENSG00000201467,ENSG00000201467.1,AL732371.1,X
ENSG00000202304,ENSG00000202304.1,RNU6-1130P,X
ENSG00000212605,ENSG00000212605.1,RNU1-56P,X
ENSG00000200620,ENSG00000200620.1,AC112497.1,X
ENSG00000212434,ENSG00000212434.2,U3,X
ENSG00000201356,ENSG00000201356.1,RNA5SP500,X
ENSG00000221375,ENSG00000221375.1,RNU6ATAC23P,X
ENSG00000251869,ENSG00000251869.1,SCARNA23,X
ENSG00000265033,ENSG00000265033.2,RN7SL262P,X
ENSG00000221463,ENSG00000221463.3,MIR1277,X
ENSG00000222321,ENSG00000222321.1,MIR1912,X
ENSG00000266710,ENSG00000266710.2,RN7SL48P,X
ENSG00000273974,ENSG00000273974.1,AC004386.3,X
